customer_id,ownership,activation_plan_code,mnp_flag,calls_incoming_cnt,calls_outgoing_cnt,calls_incoming_duration,calls_outgoing_duration,total_call_count,total_sum_duration,tot_usage_mb,upload_usage_mb,download_usage_mb,days_since_latch,cnt_open_qrc,avg_days_to_close,cnt_call_drops,pcnt_dropped_calls,rsrp_voice_pcnt_poor_duration,rsrp_data_pcnt_poor_duration,mean_cqi_voice_pcnt_poor_duration,sinr_voice_pcnt_poor_duration,sinr_data_pcnt_poor_duration,age_on_network,cnt_connections,current_plan_code,cnt_recharges_made,total_payment_made,cnt_main_plans_taken,total_main_plans_mrp,cnt_addon_plans_taken,total_addon_plans_mrp,cnt_rchg_offline,cnt_rchg_online,cnt_rchg_on_or_before_expiry,cnt_rchg_after_expiry,current_active_plan_mrp,current_active_plan_validity,last_cycle_plan_mrp,last_cycle_plan_validity,avg_days_bw_rchg_and_expiry,stddev_days_bw_rchg_and_expiry,price_per_day,gb_per_day_quota,pcnt_quota_used,device_avg_asp,recharge_delay
10000,individual,9,1,198.0,16.0,230.64218325196234,17.76878968237361,214.0,248.41097293433594,5290.358831696552,4983.836621745059,306.52220995149287,8,5,5,5.023473122867179,2.3474173471341957,72.79797292361215,84.00553067668461,76.49657233952362,67.02518329618621,71.09100902592562,302,5,5,37,1389.6929700976339,26,976.5410060145535,11,413.1519640830803,20,17,9.0,28.0,500,120,99,15,2.3022235763790873,3.6050114541220255,4.166666666666667,2.0,8.610610077631106,50K_above,31.525491080336874
10001,individual,3,1,140.0,29.0,201.71590315380928,53.57406312009262,169.0,255.28996627390188,12484.524399496078,44.09499436292847,12440.429405133149,6,4,12,5.320877489903377,3.1484482188777374,24.881428276993603,28.712030053308823,72.13208814954304,37.764701242245934,40.055552030495576,371,8,5,44,1652.6078563323215,18,676.0668503177678,26,976.5410060145537,24,20,33.0,11.0,128,28,99,15,-0.4359242819701074,1.9438129096870487,4.571428571428571,1.0,40.63972786294297,30K_to_50K,-12.268170629638314
10002,individual,9,0,22.0,10.0,23.650522701389455,15.607769233225959,32.0,39.258291934615414,16952.208989612547,1404.0880019099282,15548.120987702618,1,5,13,1.095056765257568,3.4220523914299,80.85624403545106,93.3044069214524,61.903140782554544,80.9588754300227,85.86993516289303,320,3,10,39,1464.8115090218303,15,563.3890419314732,24,901.422467090357,21,18,18.0,21.0,2999,700,128,28,-5.920869806143824,2.1778983655230744,4.284285714285715,4.0,13.795742992848751,20K_to_30K,41.608224684682135
10003,individual,8,0,18.0,27.0,18.72908044984032,31.07077238521079,45.0,49.79985283505111,2057.4020154191203,126.74661537095076,1930.6554000481697,2,5,8,1.3918235056795183,3.092941123732263,22.59608222123492,26.07484524604331,24.9943751295456,80.12677181361664,84.98735517138417,207,7,2,27,1014.1002754766517,11,413.1519640830804,16,600.9483113935714,15,12,10.0,17.0,300,90,300,90,0.47989343618911473,0.42218568908680415,3.3333333333333335,1.5,4.464848123739411,50K_above,-1.583614692422983
10004,corporate,1,0,3.0,119.0,4.074013808002493,204.36062422809604,122.0,208.43463803609853,9605.064462941236,93.18691412118969,9511.877548820046,5,2,5,2.8888564876804304,2.3679151538364183,35.29287203432066,40.72635988722416,75.3464995924961,13.44842765498252,14.264224949300075,649,4,7,72,2704.2674012710713,53,1990.6412814912053,19,713.626119779866,38,34,42.0,30.0,999,180,999,180,0.33851047466098827,9.18788275788967,5.55,3.0,10.422161960656723,20K_to_30K,-5.386401168706589
10005,individual,9,0,4.0,45.0,5.930603102057217,84.57396295442138,49.0,90.5045660564786,6510.69455019601,283.0221899480249,6227.672360247985,2,3,7,0.9915030960914584,2.0234757063090987,11.741113891756692,13.548708344494308,84.54146068293333,92.31716545699251,97.91723229982361,589,5,4,66,2478.911784498482,24,901.4224670903571,42,1577.4893174081249,35,31,34.0,32.0,500,120,999,180,1.0835045276332926,4.579177151203114,4.166666666666667,2.0,10.596833577792985,less_10K,34.642717261989176
10006,individual,4,0,55.0,33.0,109.49213332173291,58.776416751255596,88.0,168.2685500729885,3011.688638743167,1126.1708504852083,1885.5177882579583,4,5,13,2.5094053787607082,2.8515970213189865,71.38082916818986,82.37021160888148,29.124984418302034,27.35799527591859,29.017563152299886,344,7,4,41,1539.930047946027,29,1089.2188144008483,12,450.71123354517863,22,19,2.0,39.0,1500,365,128,28,2.609980564981454,4.741970454257485,4.109589041095891,3.0,3.267891318080693,less_10K,-4.3116526630390934
10007,individual,7,1,31.0,169.0,51.71210864625967,182.46137923107517,200.0,234.17348787733485,531.5036170136266,57.343046871029124,474.1605701425974,8,5,4,11.613813230289873,5.8069066151449364,30.802201083484185,35.54433103162356,63.99679408788433,69.80821428297995,74.04286191571609,343,2,2,41,1539.930047946027,20,751.1853892419642,21,788.7446587040627,22,19,40.0,1.0,128,28,300,90,1.3268679549341647,2.494325587553745,4.571428571428571,1.0,1.7301550032995656,less_10K,3.239016854239806
10008,corporate,5,0,117.0,57.0,196.37679014828683,112.00000908761106,174.0,308.3767992358979,2070.864003478966,1380.1915805757367,690.6724229032291,7,1,11,2.298247385853919,1.320831830950528,7.689222561458221,8.87301109941927,27.403723570184336,31.195572897324066,33.08793270452385,461,5,2,53,1990.6412814912053,33,1239.455892249241,20,751.1853892419642,28,25,20.0,33.0,128,28,999,180,2.5624045342570496,0.6753520764023833,4.571428571428571,1.0,6.741093761324759,50K_above,-12.702243975577641
10009,individual,10,1,6.0,100.0,9.419117920735582,189.96498569262937,106.0,199.38410361336494,7981.8017006731225,4362.864827046402,3618.936873626721,4,3,11,6.465278493474213,6.099319333466239,40.10476933396885,46.27906925514586,89.37957026371451,2.984993144604481,3.166066307460258,413,7,4,48,1802.8449341807143,29,1089.2188144008483,19,713.626119779866,26,22,42.0,6.0,1500,365,128,28,0.3551579547071243,4.350904742261895,4.109589041095891,3.0,8.660809137015105,50K_above,-3.576923132801274
